from,to,weight
P2K6Ymuv5tCuz9DJD2GtcRXKDo5sAeKdinYDC71gWzXZe5t,P2KKQBFNmxyD3vWMFFiV15m8w2bLgDBi4JQKm4b7wT8gxi7,123804.9
P2KKQBFNmxyD3vWMFFiV15m8w2bLgDBi4JQKm4b7wT8gxi7,P2KCYuy5rNiZsiaEk2nPHuRVWARAyrwH6aWkY1SHoCn8mkB,0.8
P2KC2rmFMz3ufDdYyU2hyPQxYyHgmB2actMSHV8GSmyTc8i,P2KKQBFNmxyD3vWMFFiV15m8w2bLgDBi4JQKm4b7wT8gxi7,17000.0
P2KCYuy5rNiZsiaEk2nPHuRVWARAyrwH6aWkY1SHoCn8mkB,P2KKQBFNmxyD3vWMFFiV15m8w2bLgDBi4JQKm4b7wT8gxi7,2.8
P2KCi2dSYUseZ92WLREFW8oNHuukhVjGJLDW6NmZTSWJZbk,P2KKQBFNmxyD3vWMFFiV15m8w2bLgDBi4JQKm4b7wT8gxi7,2000.0
P2K3pjd8RokaqxrDrYzE5Ff4p14rkmGjFadpULuJjDVBWkA,P2KKQBFNmxyD3vWMFFiV15m8w2bLgDBi4JQKm4b7wT8gxi7,15000.0
P2K862JDWSHZCemFRhHTf1tPBKUDDq1VU516b2hWGpdzjkT,P2KKQBFNmxyD3vWMFFiV15m8w2bLgDBi4JQKm4b7wT8gxi7,998.0
